"","x","y","BEN","CH4","H2S","TOL","VOC","XYM","XYP"
"259",-90.021195,35.061615,0,0,0,0,0,0,0
"260",-90.02141,35.061620098,0,0,0,0,0,0,0
"261",-90.021565,35.061625,0,0,0,0,0,0,0
"262",-90.021675,35.061635,0,0,0,0,0,0,0
"263",-90.021775,35.061645,0,0,0,0,0,0,0
"264",-90.021895,35.061655,0,0,0,0,0,0,0
"265",-90.022,35.061665,0,0,0,0,0,0,0
"266",-90.022125,35.061670098,0,0,0,0,0,0,0
"267",-90.022225,35.061675,0,0,0,0,0,0,0
"268",-90.022295,35.061685,0,0,0,0,0,0,0
"269",-90.022385,35.061690098,0,0,0,0,0,0,0
"270",-90.0225,35.061695,0,0,0,0,0,0,0
"271",-90.02259,35.061705,0,0,0,0,0,0,0
"272",-90.022685,35.061715,0,0,0,0,0,0,0
"273",-90.02284,35.061725,0,0,0,0,0,0,0
"274",-90.022945,35.061730098,0,0,0,0,0,0,0
"275",-90.02302,35.061735,0,0,0,0,0,0,0
"276",-90.023135,35.061745,0,0,0,0,0,0,0
"277",-90.02322,35.061755,0,0,0,0,0,0,0
"278",-90.023275,35.06177,0,0,0,0,0,0,0
"279",-90.023335,35.0618,0,0,0,0,0,0,0
"280",-90.02338,35.06185,0,0,0,0,0,0,0
"281",-90.023405,35.06191,0,0,0,0,0,0,0
"282",-90.023405,35.06199,0,0,0,0,0,0,0
"283",-90.023395,35.06206,0,0,0,0,0,0,0
"284",-90.02338,35.062125,0,0,0,0,0,0,0
"285",-90.02335,35.06224,0,0,0,0,0,0,0
"286",-90.023325,35.062335,0,0,0,0,0,0,0
"287",-90.023305,35.062415,0,0,0,0,0,0,0
"288",-90.023275,35.062525,0,0,0,0,0,0,0
"289",-90.023245,35.06264,0,0,0,0,0,0,10.9464
"290",-90.023205,35.0628,0,0,0,0,0,0,10.9464
"291",-90.023165,35.06297,0,0,0,0,0,0,10.9464
"292",-90.02314,35.063075,0,0,0,0,0,0,10.9464
"293",-90.023115,35.063165,0,0,0,0,0,0,10.9464
"294",-90.022995,35.06375,0,0,0,0,-3.562,0,0
"295",-90.02286,35.06434,0,0,0,0,0,0,0
"296",-90.022805,35.064465,0,0,0,0,0,0,0
"297",-90.022765,35.064605,0,0,0,0,0,0,0
"298",-90.02273,35.064755,0,0,0,0,0,0,0
"299",-90.0227,35.06487,0,0,0,0,0,0,0
"300",-90.022665,35.06502,0,0,0,0,0,0,0
"301",-90.02262,35.0652,0,0,0,0,0,0,0
"302",-90.02258,35.06534,0,0,0,0,0,0,0
"303",-90.022545,35.06548,0,0,0,0,0,0,0
"304",-90.02251,35.06562,0,0,0,0,0,0,0
"305",-90.022485,35.065725,0,0,0,0,0,0,0
"306",-90.02246,35.065825,0,0,0,0,0,0,0
